procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 64738116 143728 1081376    0    0     0     6 28968 259174 19 12 70  0  0
13  0      0 64774440 143732 1081344    0    0     0    15 29532 260060 19 11 70  0  0
 9  0      0 64771180 143740 1081344    0    0     0    15 30081 264973 19 12 69  0  0
 2  0      0 64764872 143740 1081380    0    0     0    30 28494 251394 18 12 70  0  0
 4  0      0 64749836 143744 1081412    0    0     0     4 28694 253662 18 12 70  0  0
 9  0      0 64766088 143748 1081380    0    0     0    22 28895 256112 19 12 70  0  0
 7  0      0 64770868 143748 1081380    0    0     0     9 28455 253016 18 11 70  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 64771816 143748 1081380    0    0     0     6 28426 252682 18 12 70  0  0
 8  0      0 64771656 143752 1081380    0    0     0    15 28578 253949 18 11 70  0  0
 9  0      0 64758884 143752 1081416    0    0     0     6 28558 252423 18 11 70  0  0
10  0      0 64758388 143756 1081460    0    0     0     9 28488 253110 18 12 70  0  0
 6  0      0 64769456 143764 1081428    0    0     0    12 29180 256599 19 11 70  0  0
14  0      0 64757152 143764 1081460    0    0     0    20 28638 253820 18 11 70  0  0
13  0      0 64757152 143768 1081460    0    0     0    12 29043 256942 19 11 70  0  0
13  0      0 64769888 143776 1081428    0    0     0    10 29403 259795 19 12 70  0  0
14  0      0 64770596 143776 1081432    0    0     0     8 28311 251845 18 12 70  0  0
10  0      0 64773108 143780 1081436    0    0     0    10 28646 252779 18 12 70  0  0
13  0      0 64772916 143784 1081436    0    0     0    10 28488 252200 18 12 70  0  0
 7  0      0 64772348 143788 1081436    0    0     0    16 29128 257134 18 12 70  0  0
10  0      0 64772640 143788 1081436    0    0     0    10 29344 259687 19 12 70  0  0
 7  0      0 64766496 143788 1081436    0    0     0     6 29093 252406 19 12 70  0  0
18  0      0 64768488 143788 1081436    0    0     0     3 28635 253115 18 12 70  0  0
12  0      0 64767496 143792 1081472    0    0     0    10 29018 257801 19 11 70  0  0
11  0      0 64770076 143796 1081472    0    0     0    10 29352 258859 19 11 70  0  0
 9  0      0 64768756 143804 1081440    0    0     0    20 28432 252434 18 11 70  0  0
 6  0      0 64771356 143804 1081440    0    0     0    11 28556 253001 18 12 70  0  0
 8  0      0 64757432 143804 1081472    0    0     0     6 28568 253174 18 11 70  0  0
 9  0      0 64757392 143804 1081472    0    0     0    10 29315 260265 19 12 70  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0      0 64764704 143804 1081440    0    0     0     9 29197 257625 19 12 69  0  0
 8  0      0 64765172 143804 1081444    0    0     0    17 28495 253884 18 12 70  0  0
13  0      0 64766032 143804 1081444    0    0     0    16 28510 252307 18 12 70  0  0
 5  0      0 64753500 143808 1081444    0    0     0     9 29361 259482 19 11 70  0  0
 5  0      0 64766840 143812 1081480    0    0     0    10 29217 257610 19 12 70  0  0
13  0      0 64768612 143812 1081484    0    0     0     6 28682 252641 18 11 70  0  0
10  0      0 64768588 143812 1081484    0    0     0     6 28668 252255 18 12 70  0  0
12  0      0 64767304 143812 1081484    0    0     0     0 29258 258756 19 11 70  0  0
10  0      0 64766188 143812 1081488    0    0     0    26 29227 258018 19 12 70  0  0
 6  0      0 64761496 143812 1081488    0    0     0     9 28838 251712 19 12 70  0  0
 3  0      0 64759948 143816 1081488    0    0     0    10 28528 252722 18 12 70  0  0
10  0      0 64759216 143816 1081520    0    0     0     3 29168 259665 19 11 70  0  0
 9  0      0 64759932 143820 1081488    0    0     0    12 29156 257573 19 12 70  0  0
 6  0      0 64760180 143828 1081488    0    0     0     6 28758 253648 18 12 70  0  0
12  0      0 64761860 143828 1081492    0    0     0    14 28561 251994 18 12 70  0  0
12  0      0 64760284 143836 1081524    0    0     0    14 29226 259338 19 12 70  0  0
11  0      0 64759136 143836 1081492    0    0     0     9 29471 257906 19 12 70  0  0
14  0      0 64754068 143840 1081492    0    0     0    10 28782 252148 19 11 70  0  0
 8  0      0 64750720 143844 1081524    0    0     0     9 30295 265345 19 12 69  0  0
13  0      0 64752464 143844 1081492    0    0     0     9 28301 251920 18 12 70  0  0
