procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0      0 64465892 141796 1067236    0    0     0    15 29078 254583 19 12 70  0  0
 8  0      0 64465876 141796 1067236    0    0     0    12 29386 258783 19 12 70  0  0
13  0      0 64466276 141800 1067240    0    0     0    12 29864 259605 19 12 70  0  0
14  0      0 64463968 141800 1067240    0    0     0    10 30714 266467 19 12 69  0  0
12  0      0 64462304 141800 1067272    0    0     0     0 30008 265407 19 12 69  0  0
11  0      0 64457552 141800 1067240    0    0     0    15 29113 253757 19 12 69  0  0
11  0      0 64456532 141800 1067240    0    0     0    18 30505 267742 19 11 69  0  0
14  0      0 64456976 141804 1067240    0    0     0    12 30480 267939 19 12 69  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 64434224 141804 1067272    0    0     0    15 30156 265534 19 12 69  0  0
10  0      0 64457684 141804 1067244    0    0     0     3 29295 256322 18 12 70  0  0
11  0      0 64458032 141804 1067248    0    0     0     6 30365 265848 19 12 69  0  0
 9  0      0 64457216 141808 1067292    0    0     0     9 30188 266832 19 12 69  0  0
 6  0      0 64457780 141808 1067292    0    0     0    17 30393 267915 19 12 69  0  0
 6  0      0 64435884 141808 1067324    0    0     0    12 29138 257727 19 12 70  0  0
 3  0      0 64453748 141812 1067292    0    0     0    16 29901 263152 19 12 70  0  0
11  0      0 64453680 141812 1067296    0    0     0    12 30494 266828 19 12 69  0  0
 9  0      0 64453776 141812 1067296    0    0     0     6 30415 267099 19 12 69  0  0
 8  0      0 64453256 141812 1067328    0    0     0     3 30134 264612 19 12 69  0  0
 9  0      0 64452996 141812 1067296    0    0     0    18 28904 255630 19 11 70  0  0
 4  0      0 64453488 141816 1067296    0    0     0    10 30129 263598 19 12 69  0  0
10  0      0 64453848 141816 1067296    0    0     0    10 30252 265535 19 12 69  0  0
 5  0      0 64452188 141816 1067296    0    0     0    15 30478 265435 19 12 69  0  0
19  0      0 64450204 141816 1067332    0    0     0     6 29216 257463 19 12 70  0  0
12  0      0 64448676 141820 1067300    0    0     0    10 29714 261404 19 12 69  0  0
 8  0      0 64450800 141820 1067300    0    0     0    10 30356 265015 19 12 69  0  0
13  0      0 64449484 141820 1067300    0    0     0    10 30609 267485 19 12 69  0  0
 3  0      0 64451804 141820 1067300    0    0     0    14 30394 265321 19 12 69  0  0
10  0      0 64453740 141820 1067300    0    0     0    13 28823 254251 18 12 70  0  0
 5  0      0 64454288 141820 1067300    0    0     0    14 30448 265910 19 12 69  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0      0 64453160 141820 1067304    0    0     0    12 30305 266034 19 12 69  0  0
10  0      0 64449956 141820 1067304    0    0     0    11 30461 265618 20 11 69  0  0
11  0      0 64433540 141820 1067336    0    0     0    10 29029 255104 19 12 70  0  0
 7  0      0 64452124 141820 1067304    0    0     0    12 30125 264606 19 12 69  0  0
11  0      0 64452744 141820 1067344    0    0     0    10 30219 264481 19 11 69  0  0
14  0      0 64456364 141820 1067344    0    0     0     6 30312 266262 19 12 69  0  0
 2  0      0 64432424 141820 1067376    0    0     0    13 29634 260286 19 12 69  0  0
 7  0      0 64458324 141820 1067348    0    0     0    13 29590 260074 19 12 70  0  0
 8  0      0 64457296 141820 1067348    0    0     0    13 30228 264236 19 12 69  0  0
11  0      0 64456900 141820 1067348    0    0     0     6 30352 264466 20 12 69  0  0
14  0      0 64453688 141824 1067376    0    0     0    26 28875 253071 18 11 70  0  0
 8  0      0 64454052 141824 1067376    0    0     0    17 28788 253504 18 12 70  0  0
 7  0      0 64454808 141824 1067376    0    0     0    12 28739 255897 19 12 70  0  0
 6  0      0 64439584 141824 1067412    0    0     0    16 29704 261022 19 12 69  0  0
10  0      0 64454360 141824 1067380    0    0     0    12 29283 259984 19 12 69  0  0
 5  0      0 64456532 141828 1067380    0    0     0     6 29104 254571 19 12 70  0  0
15  0      0 64455144 141828 1067380    0    0     0     3 28867 254412 19 12 70  0  0
 7  0      0 64455160 141828 1067384    0    0     0    12 29547 259685 19 12 69  0  0
14  0      0 64451452 141828 1067384    0    0     0    10 29632 259237 19 12 69  0  0
10  0      0 64453748 141828 1067384    0    0     0    18 28958 253884 18 12 70  0  0
 9  0      0 64452724 141828 1067388    0    0     0    10 28779 253493 19 11 70  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 64453592 141828 1067388    0    0     0     9 29349 258664 19 11 70  0  0
11  0      0 64454048 141828 1067388    0    0     0     3 29250 260636 19 12 69  0  0
11  0      0 64456064 141828 1067388    0    0     0     9 29199 255805 19 12 70  0  0
 7  0      0 64455568 141828 1067388    0    0     0    14 28642 253284 19 12 70  0  0
 7  0      0 64454832 141828 1067392    0    0     0    12 29502 258788 19 12 70  0  0
36  0      0 64454964 141832 1067432    0    0     0    10 29603 260720 19 12 69  0  0
 8  0      0 64452096 141832 1067436    0    0     0    12 29122 254676 18 12 70  0  0
 7  0      0 64451948 141832 1067436    0    0     0     2 28862 253623 19 12 70  0  0
 9  0      0 64452568 141832 1067436    0    0     0     3 29353 259507 19 12 70  0  0
15  0      0 64453900 141832 1067436    0    0     0    15 29666 259025 19 12 70  0  0
11  0      0 64453312 141836 1067436    0    0     0    16 28952 253510 19 12 70  0  0
 7  0      0 64454408 141836 1067436    0    0     0     6 28564 253397 18 11 70  0  0
 9  0      0 64454112 141836 1067440    0    0     0    10 29487 259316 19 12 70  0  0
 9  0      0 64454212 141836 1067440    0    0     0     9 29260 259810 19 12 70  0  0
16  0      0 64448928 141836 1067440    0    0     0     9 29017 254255 19 12 69  0  0
 9  0      0 64450076 141836 1067440    0    0     0     6 28647 253953 19 12 70  0  0
11  0      0 64435980 141836 1067472    0    0     0    22 29126 256195 19 12 70  0  0
 8  0      0 64451684 141836 1067440    0    0     0     6 29994 263475 19 12 69  0  0
13  0      0 64451748 141840 1067436    0    0     0    14 29020 253882 18 12 70  0  0
 2  0      0 64452780 141840 1067444    0    0     0     6 28824 254274 19 12 70  0  0
 9  0      0 64437560 141844 1067476    0    0     0     6 28727 254583 19 12 70  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13  0      0 64435256 141848 1067476    0    0     0    12 29791 263327 19 12 69  0  0
 8  0      0 64452288 141852 1067444    0    0     0    19 29239 256356 19 12 70  0  0
10  0      0 64451996 141856 1067440    0    0     0     2 28642 251829 19 11 70  0  0
 7  0      0 64449988 141856 1067444    0    0     0     6 30367 266127 19 12 69  0  0
 9  0      0 64451272 141856 1067444    0    0     0     9 30390 268166 19 12 69  0  0
14  0      0 64426712 141856 1067480    0    0     0    12 29969 264732 19 12 69  0  0
 6  0      0 64451180 141856 1067488    0    0     0    12 29268 257565 19 12 70  0  0
 6  0      0 64452100 141856 1067488    0    0     0    22 30378 268332 19 12 69  0  0
15  0      0 64451952 141856 1067488    0    0     0     0 30401 264770 19 12 69  0  0
10  0      0 64449984 141856 1067488    0    0     0    12 30299 265946 19 12 69  0  0
