procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 60071636 149576 1130552    0    0     0     6 36523 131049 21 12 67  0  0
 1  0      0 60066480 149576 1130584    0    0     0     2 38457 136031 22 12 66  0  0
 9  0      0 60085512 149576 1130552    0    0     0     6 36265 134487 20 12 68  0  0
43  0      0 60084552 149576 1130552    0    0     0     3 33568 132254 18 11 70  0  0
 0  0      0 60094408 149576 1130552    0    0     0     6 38447 136112 23 12 65  0  0
 4  0      0 60096756 149576 1130556    0    0     0    25 37211 131168 22 12 67  0  0
43  0      0 60083896 149576 1130588    0    0     0    11 36525 129225 22 12 66  0  0
 0  0      0 60106020 149576 1130556    0    0     0    11 38082 133731 22 12 66  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
23  0      0 60113936 149576 1130556    0    0     0     6 36958 130737 21 12 67  0  0
33  0      0 60104736 149576 1130588    0    0     0     3 36967 127785 22 12 66  0  0
 0  0      0 60125676 149576 1130556    0    0     0     6 37421 132895 21 12 67  0  0
 3  0      0 60112876 149576 1130588    0    0     0     9 36410 129491 21 11 67  0  0
 1  0      0 60136352 149576 1130560    0    0     0    32 37491 133503 22 11 67  0  0
20  0      0 60143356 149576 1130564    0    0     0     3 39688 140231 22 12 65  0  0
 5  0      0 60150232 149576 1130564    0    0     0    10 36946 137309 21 12 68  0  0
 6  0      0 60132072 149576 1130636    0    0     0     9 35251 143344 19 12 69  0  0
 1  0      0 60161000 149576 1130604    0    0     0     6 35466 141865 19 12 69  0  0
13  0      0 60162896 149576 1130604    0    0     0     0 34961 139113 19 12 70  0  0
27  0      0 60166136 149576 1130604    0    0     0     6 36571 146425 19 12 68  0  0
20  0      0 60150556 149576 1130640    0    0     0    31 35640 143693 19 12 68  0  0
 1  0      0 60175776 149576 1130608    0    0     0     9 34588 139440 19 12 69  0  0
 0  0      0 60180320 149576 1130608    0    0     0     6 35339 141616 19 12 69  0  0
13  0      0 60186136 149576 1130608    0    0     0     6 35978 145576 20 12 68  0  0
 2  0      0 60163332 149576 1130640    0    0     0     9 34818 140430 18 12 70  0  0
29  0      0 60185660 149576 1130608    0    0     0     6 35417 137544 19 12 69  0  0
 2  0      0 60193172 149576 1130612    0    0     0    26 38568 134752 22 12 67  0  0
 5  0      0 60195244 149576 1130612    0    0     0     6 38947 134885 22 12 66  0  0
 1  0      0 60195964 149576 1130644    0    0     0     9 38653 136175 22 12 66  0  0
 0  0      0 60203268 149576 1130612    0    0     0    11 37085 132657 21 12 67  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 60212940 149576 1130616    0    0     0     2 34813 138167 19 12 69  0  0
 1  0      0 60213728 149576 1130616    0    0     0     6 35911 143892 19 12 69  0  0
30  0      0 60218244 149576 1130616    0    0     0     6 36850 148043 20 12 68  0  0
28  0      0 60208000 149576 1130620    0    0     0    33 33815 134340 18 12 70  0  0
 2  0      0 60224008 149576 1130620    0    0     0     0 35023 132637 20 11 69  0  0
 2  0      0 60227984 149576 1130620    0    0     0     9 38122 133865 22 12 67  0  0
 1  0      0 60226880 149576 1130620    0    0     0    14 38429 135710 22 12 66  0  0
 1  0      0 60215712 149576 1130652    0    0     0     6 37295 132367 22 12 66  0  0
 3  0      0 60240068 149576 1130660    0    0     0     7 37649 133542 22 12 66  0  0
